×Ö·û----GB-------Unicode------UTF-8
©Ã     c3a9      251f        e2-94-9f 
©Ä     c4a9      2520        e2-94-a0 
©Å     c5a9      2521        e2-94-a1 
©Æ     c6a9      2522        e2-94-a2 
©Ç     c7a9      2523        e2-94-a3 
©È     c8a9      2524        e2-94-a4 
©É     c9a9      2525        e2-94-a5 
©Ê     caa9      2526        e2-94-a6 
©Ë     cba9      2527        e2-94-a7 
©Ì     cca9      2528        e2-94-a8 
©Í     cda9      2529        e2-94-a9 
©Î     cea9      252a        e2-94-aa 
©Ï     cfa9      252b        e2-94-ab 
©Ð     d0a9      252c        e2-94-ac 
©Ñ     d1a9      252d        e2-94-ad 
©Ò     d2a9      252e        e2-94-ae 
©Ó     d3a9      252f        e2-94-af 
©Ô     d4a9      2530        e2-94-b0 
©Õ     d5a9      2531        e2-94-b1 
©Ö     d6a9      2532        e2-94-b2 
©×     d7a9      2533        e2-94-b3 
©Ø     d8a9      2534        e2-94-b4 
©Ù     d9a9      2535        e2-94-b5 
©Ú     daa9      2536        e2-94-b6 
©Û     dba9      2537        e2-94-b7 
©Ü     dca9      2538        e2-94-b8 
©Ý     dda9      2539        e2-94-b9 
©Þ     dea9      253a        e2-94-ba 
©ß     dfa9      253b        e2-94-bb 
©à     e0a9      253c        e2-94-bc 
©á     e1a9      253d        e2-94-bd 
©â     e2a9      253e        e2-94-be 
©ã     e3a9      253f        e2-94-bf 
©ä     e4a9      2540        e2-95-80 
©å     e5a9      2541        e2-95-81 
©æ     e6a9      2542        e2-95-82 
©ç     e7a9      2543        e2-95-83 
©è     e8a9      2544        e2-95-84 
©é     e9a9      2545        e2-95-85 
©ê     eaa9      2546        e2-95-86 
©ë     eba9      2547        e2-95-87 
©ì     eca9      2548        e2-95-88 
©í     eda9      2549        e2-95-89 
©î     eea9      254a        e2-95-8a 
©ï     efa9      254b        e2-95-8b 
°¡     a1b0      554a        e5-95-8a 
°¢     a2b0      963f        e9-98-bf 
°£     a3b0      57c3        e5-9f-83 
°¤     a4b0      6328        e6-8c-a8 
°¥     a5b0      54ce        e5-93-8e 
°¦     a6b0      5509        e5-94-89 
°§     a7b0      54c0        e5-93-80 
°¨     a8b0      7691        e7-9a-91 
°©     a9b0      764c        e7-99-8c 
°ª     aab0      853c        e8-94-bc 
°«     abb0      77ee        e7-9f-ae 
°¬     acb0      827e        e8-89-be 
°­     adb0      788d        e7-a2-8d 
°®     aeb0      7231        e7-88-b1 
°¯     afb0      9698        e9-9a-98 
°°     b0b0      978d        e9-9e-8d 
°±     b1b0      6c28        e6-b0-a8 
°²     b2b0      5b89        e5-ae-89 
°³     b3b0      4ffa        e4-bf-ba 
°´     b4b0      6309        e6-8c-89 
°µ     b5b0      6697        e6-9a-97 
°¶     b6b0      5cb8        e5-b2-b8 
°·     b7b0      80fa        e8-83-ba 
°¸     b8b0      6848        e6-a1-88 
°¹     b9b0      80ae        e8-82-ae 
°º     bab0      6602        e6-98-82 
°»     bbb0      76ce        e7-9b-8e 
°¼     bcb0      51f9        e5-87-b9 
°½     bdb0      6556        e6-95-96 
°¾     beb0      71ac        e7-86-ac 
°¿     bfb0      7ff1        e7-bf-b1 
°À     c0b0      8884        e8-a2-84 
°Á     c1b0      50b2        e5-82-b2 
°Â     c2b0      5965        e5-a5-a5 
°Ã     c3b0      61ca        e6-87-8a 
°Ä     c4b0      6fb3        e6-be-b3 
°Å     c5b0      82ad        e8-8a-ad 
°Æ     c6b0      634c        e6-8d-8c 
°Ç     c7b0      6252        e6-89-92 
°È     c8b0      53ed        e5-8f-ad 
°É     c9b0      5427        e5-90-a7 
°Ê     cab0      7b06        e7-ac-86 
°Ë     cbb0      516b        e5-85-ab 
°Ì     ccb0      75a4        e7-96-a4 
°Í     cdb0      5df4        e5-b7-b4 
°Î     ceb0      62d4        e6-8b-94 
°Ï     cfb0      8dcb        e8-b7-8b 
°Ð     d0b0      9776        e9-9d-b6 
°Ñ     d1b0      628a        e6-8a-8a 
°Ò     d2b0      8019        e8-80-99 
°Ó     d3b0      575d        e5-9d-9d 
°Ô     d4b0      9738        e9-9c-b8 
°Õ     d5b0      7f62        e7-bd-a2 
°Ö     d6b0      7238        e7-88-b8 
°×     d7b0      767d        e7-99-bd 
°Ø     d8b0      67cf        e6-9f-8f 
°Ù     d9b0      767e        e7-99-be 
°Ú     dab0      6446        e6-91-86 
°Û     dbb0      4f70        e4-bd-b0 
°Ü     dcb0      8d25        e8-b4-a5 
°Ý     ddb0      62dc        e6-8b-9c 
°Þ     deb0      7a17        e7-a8-97 
°ß     dfb0      6591        e6-96-91 
°à     e0b0      73ed        e7-8f-ad 
°á     e1b0      642c        e6-90-ac 
°â     e2b0      6273        e6-89-b3 
°ã     e3b0      822c        e8-88-ac 
°ä     e4b0      9881        e9-a2-81 
°å     e5b0      677f        e6-9d-bf 
°æ     e6b0      7248        e7-89-88 
°ç     e7b0      626e        e6-89-ae 
°è     e8b0      62cc        e6-8b-8c 
°é     e9b0      4f34        e4-bc-b4 
°ê     eab0      74e3        e7-93-a3 
°ë     ebb0      534a        e5-8d-8a 
°ì     ecb0      529e        e5-8a-9e 
°í     edb0      7eca        e7-bb-8a 
°î     eeb0      90a6        e9-82-a6 
°ï     efb0      5e2e        e5-b8-ae 
°ð     f0b0      6886        e6-a2-86 
°ñ     f1b0      699c        e6-a6-9c 
°ò     f2b0      8180        e8-86-80 
°ó     f3b0      7ed1        e7-bb-91 
°ô     f4b0      68d2        e6-a3-92 
°õ     f5b0      78c5        e7-a3-85 
°ö     f6b0      868c        e8-9a-8c 
°÷     f7b0      9551        e9-95-91 
°ø     f8b0      508d        e5-82-8d 
°ù     f9b0      8c24        e8-b0-a4 
°ú     fab0      82de        e8-8b-9e 
°û     fbb0      80de        e8-83-9e 
°ü     fcb0      5305        e5-8c-85 
°ý     fdb0      8912        e8-a4-92 
°þ     feb0      5265        e5-89-a5 
±¡     a1b1      8584        e8-96-84 
±¢     a2b1      96f9        e9-9b-b9 
±£     a3b1      4fdd        e4-bf-9d 
±¤     a4b1      5821        e5-a0-a1 
±¥     a5b1      9971        e9-a5-b1 
±¦     a6b1      5b9d        e5-ae-9d 
±§     a7b1      62b1        e6-8a-b1 
±¨     a8b1      62a5        e6-8a-a5 
±©     a9b1      66b4        e6-9a-b4 
±ª     aab1      8c79        e8-b1-b9 
±«     abb1      9c8d        e9-b2-8d 
±¬     acb1      7206        e7-88-86 
±­     adb1      676f        e6-9d-af 
±®     aeb1      7891        e7-a2-91 
±¯     afb1      60b2        e6-82-b2 
±°     b0b1      5351        e5-8d-91 
±±     b1b1      5317        e5-8c-97 
±²     b2b1      8f88        e8-be-88 
±³     b3b1      80cc        e8-83-8c 
±´     b4b1      8d1d        e8-b4-9d 
±µ     b5b1      94a1        e9-92-a1 
±¶     b6b1      500d        e5-80-8d 
±·     b7b1      72c8        e7-8b-88 
±¸     b8b1      5907        e5-a4-87 
±¹     b9b1      60eb        e6-83-ab 
±º     bab1      7119        e7-84-99 
±»     bbb1      88ab        e8-a2-ab 
±¼     bcb1      5954        e5-a5-94 
±½     bdb1      82ef        e8-8b-af 
±¾     beb1      672c        e6-9c-ac 
±¿     bfb1      7b28        e7-ac-a8 
±À     c0b1      5d29        e5-b4-a9 
±Á     c1b1      7ef7        e7-bb-b7 
±Â     c2b1      752d        e7-94-ad 
±Ã     c3b1      6cf5        e6-b3-b5 
±Ä     c4b1      8e66        e8-b9-a6 
±Å     c5b1      8ff8        e8-bf-b8 
±Æ     c6b1      903c        e9-80-bc 
±Ç     c7b1      9f3b        e9-bc-bb 
±È     c8b1      6bd4        e6-af-94 
±É     c9b1      9119        e9-84-99 
±Ê     cab1      7b14        e7-ac-94 
±Ë     cbb1      5f7c        e5-bd-bc 
±Ì     ccb1      78a7        e7-a2-a7 
±Í     cdb1      84d6        e8-93-96 
±Î     ceb1      853d        e8-94-bd 
±Ï     cfb1      6bd5        e6-af-95 
±Ð     d0b1      6bd9        e6-af-99 
±Ñ     d1b1      6bd6        e6-af-96 
±Ò     d2b1      5e01        e5-b8-81 
±Ó     d3b1      5e87        e5-ba-87 
±Ô     d4b1      75f9        e7-97-b9 
±Õ     d5b1      95ed        e9-97-ad 
±Ö     d6b1      655d        e6-95-9d 
±×     d7b1      5f0a        e5-bc-8a 
±Ø     d8b1      5fc5        e5-bf-85 
±Ù     d9b1      8f9f        e8-be-9f 
±Ú     dab1      58c1        e5-a3-81 
±Û     dbb1      81c2        e8-87-82 
±Ü     dcb1      907f        e9-81-bf 
±Ý     ddb1      965b        e9-99-9b 
±Þ     deb1      97ad        e9-9e-ad 
±ß     dfb1      8fb9        e8-be-b9 
±à     e0b1      7f16        e7-bc-96 
±á     e1b1      8d2c        e8-b4-ac 
±â     e2b1      6241        e6-89-81 
±ã     e3b1      4fbf        e4-be-bf 
±ä     e4b1      53d8        e5-8f-98 
±å     e5b1      535e        e5-8d-9e 
±æ     e6b1      8fa8        e8-be-a8 
±ç     e7b1      8fa9        e8-be-a9 
±è     e8b1      8fab        e8-be-ab 
±é     e9b1      904d        e9-81-8d 
±ê     eab1      6807        e6-a0-87 
±ë     ebb1      5f6a        e5-bd-aa 
±ì     ecb1      8198        e8-86-98 
±í     edb1      8868        e8-a1-a8 
±î     eeb1      9cd6        e9-b3-96 
±ï     efb1      618b        e6-86-8b 
±ð     f0b1      522b        e5-88-ab 
±ñ     f1b1      762a        e7-98-aa 
±ò     f2b1      5f6c        e5-bd-ac 
±ó     f3b1      658c        e6-96-8c 
±ô     f4b1      6fd2        e6-bf-92 
±õ     f5b1      6ee8        e6-bb-a8 
±ö     f6b1      5bbe        e5-ae-be 
±÷     f7b1      6448        e6-91-88 
±ø     f8b1      5175        e5-85-b5 
±ù     f9b1      51b0        e5-86-b0 
±ú     fab1      67c4        e6-9f-84 
±û     fbb1      4e19        e4-b8-99 
±ü     fcb1      79c9        e7-a7-89 
±ý     fdb1      997c        e9-a5-bc 
±þ     feb1      70b3        e7-82-b3 
²¡     a1b2      75c5        e7-97-85 
²¢     a2b2      5e76        e5-b9-b6 
²£     a3b2      73bb        e7-8e-bb 
²¤     a4b2      83e0        e8-8f-a0 
²¥     a5b2      64ad        e6-92-ad 
²¦     a6b2      62e8        e6-8b-a8 
²§     a7b2      94b5        e9-92-b5 
²¨     a8b2      6ce2        e6-b3-a2 
²©     a9b2      535a        e5-8d-9a 
²ª     aab2      52c3        e5-8b-83 
²«     abb2      640f        e6-90-8f 
²¬     acb2      94c2        e9-93-82 
²­     adb2      7b94        e7-ae-94 
²®     aeb2      4f2f        e4-bc-af 
²¯     afb2      5e1b        e5-b8-9b 
²°     b0b2      8236        e8-88-b6 
²±     b1b2      8116        e8-84-96 
²²     b2b2      818a        e8-86-8a 
²³     b3b2      6e24        e6-b8-a4 
²´     b4b2      6cca        e6-b3-8a 
²µ     b5b2      9a73        e9-a9-b3 
²¶     b6b2      6355        e6-8d-95 
²·     b7b2      535c        e5-8d-9c 
²¸     b8b2      54fa        e5-93-ba 
²¹     b9b2      8865        e8-a1-a5 
²º     bab2      57e0        e5-9f-a0 
²»     bbb2      4e0d        e4-b8-8d 
²¼     bcb2      5e03        e5-b8-83 
²½     bdb2      6b65        e6-ad-a5 
²¾     beb2      7c3f        e7-b0-bf 
²¿     bfb2      90e8        e9-83-a8 
²À     c0b2      6016        e6-80-96 
²Á     c1b2      64e6        e6-93-a6 
²Â     c2b2      731c        e7-8c-9c 
²Ã     c3b2      88c1        e8-a3-81 
²Ä     c4b2      6750        e6-9d-90 
²Å     c5b2      624d        e6-89-8d 
²Æ     c6b2      8d22        e8-b4-a2 
²Ç     c7b2      776c        e7-9d-ac 
²È     c8b2      8e29        e8-b8-a9 
²É     c9b2      91c7        e9-87-87 
²Ê     cab2      5f69        e5-bd-a9 
²Ë     cbb2      83dc        e8-8f-9c 
²Ì     ccb2      8521        e8-94-a1 
²Í     cdb2      9910        e9-a4-90 
²Î     ceb2      53c2        e5-8f-82 
²Ï     cfb2      8695        e8-9a-95 
²Ð     d0b2      6b8b        e6-ae-8b 
²Ñ     d1b2      60ed        e6-83-ad 
²Ò     d2b2      60e8        e6-83-a8 
²Ó     d3b2      707f        e7-81-bf 
²Ô     d4b2      82cd        e8-8b-8d 
²Õ     d5b2      8231        e8-88-b1 
²Ö     d6b2      4ed3        e4-bb-93 
²×     d7b2      6ca7        e6-b2-a7 
²Ø     d8b2      85cf        e8-97-8f 
²Ù     d9b2      64cd        e6-93-8d 
²Ú     dab2      7cd9        e7-b3-99 
²Û     dbb2      69fd        e6-a7-bd 
²Ü     dcb2      66f9        e6-9b-b9 
²Ý     ddb2      8349        e8-8d-89 
²Þ     deb2      5395        e5-8e-95 
²ß     dfb2      7b56        e7-ad-96 
²à     e0b2      4fa7        e4-be-a7 
²á     e1b2      518c        e5-86-8c 
²â     e2b2      6d4b        e6-b5-8b 
²ã     e3b2      5c42        e5-b1-82 
²ä     e4b2      8e6d        e8-b9-ad 
²å     e5b2      63d2        e6-8f-92 
²æ     e6b2      53c9        e5-8f-89 
²ç     e7b2      832c        e8-8c-ac 
²è     e8b2      8336        e8-8c-b6 
²é     e9b2      67e5        e6-9f-a5 
²ê     eab2      78b4        e7-a2-b4 
²ë     ebb2      643d        e6-90-bd 
²ì     ecb2      5bdf        e5-af-9f 
²í     edb2      5c94        e5-b2-94 
²î     eeb2      5dee        e5-b7-ae 
²ï     efb2      8be7        e8-af-a7 
²ð     f0b2      62c6        e6-8b-86 
²ñ     f1b2      67f4        e6-9f-b4 
²ò     f2b2      8c7a        e8-b1-ba 
²ó     f3b2      6400        e6-90-80 
²ô     f4b2      63ba        e6-8e-ba 
²õ     f5b2      8749        e8-9d-89 
²ö     f6b2      998b        e9-a6-8b 
²÷     f7b2      8c17        e8-b0-97 
²ø     f8b2      7f20        e7-bc-a0 
²ù     f9b2      94f2        e9-93-b2 
²ú     fab2      4ea7        e4-ba-a7 
²û     fbb2      9610        e9-98-90 
²ü     fcb2      98a4        e9-a2-a4 
²ý     fdb2      660c        e6-98-8c 
²þ     feb2      7316        e7-8c-96 
³¡     a1b3      573a        e5-9c-ba 
³¢     a2b3      5c1d        e5-b0-9d 
³£     a3b3      5e38        e5-b8-b8 
³¤     a4b3      957f        e9-95-bf 
³¥     a5b3      507f        e5-81-bf 
³¦     a6b3      80a0        e8-82-a0 
³§     a7b3      5382        e5-8e-82 
³¨     a8b3      655e        e6-95-9e 
³©     a9b3      7545        e7-95-85 
³ª     aab3      5531        e5-94-b1 
³«     abb3      5021        e5-80-a1 
³¬     acb3      8d85        e8-b6-85 
³­     adb3      6284        e6-8a-84 
³®     aeb3      949e        e9-92-9e 
³¯     afb3      671d        e6-9c-9d 
³°     b0b3      5632        e5-98-b2 
³±     b1b3      6f6e        e6-bd-ae 
³²     b2b3      5de2        e5-b7-a2 
³³     b3b3      5435        e5-90-b5 
³´     b4b3      7092        e7-82-92 
³µ     b5b3      8f66        e8-bd-a6 
³¶     b6b3      626f        e6-89-af 
³·     b7b3      64a4        e6-92-a4 
³¸     b8b3      63a3        e6-8e-a3 
³¹     b9b3      5f7b        e5-bd-bb 
³º     bab3      6f88        e6-be-88 
³»     bbb3      90f4        e9-83-b4 
³¼     bcb3      81e3        e8-87-a3 
³½     bdb3      8fb0        e8-be-b0 
³¾     beb3      5c18        e5-b0-98 
³¿     bfb3      6668        e6-99-a8 
³À     c0b3      5ff1        e5-bf-b1 
³Á     c1b3      6c89        e6-b2-89 
³Â     c2b3      9648        e9-99-88 
³Ã     c3b3      8d81        e8-b6-81 
³Ä     c4b3      886c        e8-a1-ac 
³Å     c5b3      6491        e6-92-91 
³Æ     c6b3      79f0        e7-a7-b0 
³Ç     c7b3      57ce        e5-9f-8e 
³È     c8b3      6a59        e6-a9-99 
³É     c9b3      6210        e6-88-90 
³Ê     cab3      5448        e5-91-88 
³Ë     cbb3      4e58        e4-b9-98 
³Ì     ccb3      7a0b        e7-a8-8b 
³Í     cdb3      60e9        e6-83-a9 
³Î     ceb3      6f84        e6-be-84 
³Ï     cfb3      8bda        e8-af-9a 
³Ð     d0b3      627f        e6-89-bf 
³Ñ     d1b3      901e        e9-80-9e 
³Ò     d2b3      9a8b        e9-aa-8b 
³Ó     d3b3      79e4        e7-a7-a4 
³Ô     d4b3      5403        e5-90-83 
³Õ     d5b3      75f4        e7-97-b4 
³Ö     d6b3      6301        e6-8c-81 
³×     d7b3      5319        e5-8c-99 
³Ø     d8b3      6c60        e6-b1-a0 
³Ù     d9b3      8fdf        e8-bf-9f 
³Ú     dab3      5f1b        e5-bc-9b 
³Û     dbb3      9a70        e9-a9-b0 
³Ü     dcb3      803b        e8-80-bb 
³Ý     ddb3      9f7f        e9-bd-bf 
³Þ     deb3      4f88        e4-be-88 
³ß     dfb3      5c3a        e5-b0-ba 
³à     e0b3      8d64        e8-b5-a4 
³á     e1b3      7fc5        e7-bf-85 
³â     e2b3      65a5        e6-96-a5 
³ã     e3b3      70bd        e7-82-bd 
³ä     e4b3      5145        e5-85-85 
³å     e5b3      51b2        e5-86-b2 
³æ     e6b3      866b        e8-99-ab 
³ç     e7b3      5d07        e5-b4-87 
³è     e8b3      5ba0        e5-ae-a0 
³é     e9b3      62bd        e6-8a-bd 
³ê     eab3      916c        e9-85-ac 
³ë     ebb3      7574        e7-95-b4 
³ì     ecb3      8e0c        e8-b8-8c 
³í     edb3      7a20        e7-a8-a0 
³î     eeb3      6101        e6-84-81 
³ï     efb3      7b79        e7-ad-b9 
³ð     f0b3      4ec7        e4-bb-87 
³ñ     f1b3      7ef8        e7-bb-b8 
³ò     f2b3      7785        e7-9e-85 
³ó     f3b3      4e11        e4-b8-91 
³ô     f4b3      81ed        e8-87-ad 
³õ     f5b3      521d        e5-88-9d 
³ö     f6b3      51fa        e5-87-ba 
³÷     f7b3      6a71        e6-a9-b1 
³ø     f8b3      53a8        e5-8e-a8 
³ù     f9b3      8e87        e8-ba-87 
³ú     fab3      9504        e9-94-84 
³û     fbb3      96cf        e9-9b-8f 
³ü     fcb3      6ec1        e6-bb-81 
